,answer
22,"起床食堂早饭
上午工作
中午食堂午饭
去最近的星爸爸喝杯咖啡
下午继续工作
下班
跑步
晚饭
洗澡
整理文件、上网、电视
看书
睡觉
和每一个上班族的生活是一样的，不一样的就是上班的内容。好在我的工作中一部分是我的兴趣，于是我可以比较集中精力的去做我喜欢的事情。但是工作永远不可能简单，杂事同样占用了时间和心思。所以跑步成了一天放空思考的最好时间。
顺便说一句，上班骑车10min。所以我可以有更多的时间去自有支配吧。"
23,"高一妹子
每天五点五十起床，七点二十自习开始，八点上课，中午吃饭聊天写作业，下午继续上课，五点半放学，回家，吃饭，七点半写作业，十一点睡觉。
状态真的是时好时坏，有时候特别有奔头，有时候就急性拖延症
其实认真的时候效率很高也知道怎么学，但是总是克制不住自己
立志想考北大
可是期中一下从班里第一超第二三十分掉到第七
例如我现在还没有开始写作业
例如我写到这里就开始后悔了
最大的愿望是可以控制自己"
24,"吃完看书，睡完看书，看完这本书再看另一本，如此往复，直到明年6月。
不过我知道这是值得的，
因为也许在将来的某一天，
我能听着小曲画着画，
坐在晨光里喝茶，
偶尔尽兴拉一曲帕格尼尼，
或是哼着到那时早已步入中年的Ed Sheeran，
和还没遇见的他一起去英国看看，
在夜晚一起吃着锅贴撸着串，
能爽快的买下KP8和TS9，
开心的吃着妈妈做的家乡菜，
迎来一场简单温馨的婚礼，
孩子有3只萨摩耶陪伴，
有几个志同道合的基友一起开黑，
开着称心的小轿满世界转，
会有专属于自己的屋子，
不大不小，令人心安，
里面还要有一间书房，
挂上我画的画，里面是他的模样，
我以后可能成为一名医生，
只为向给我父亲二次生命的天使们报恩，
如果可以的话，
我想比他先离世，
因为能在最后一刻都幸福满满，
请原谅我的自私，




对未来的憧憬目前只想了这么多，
如果以后更新了话，回来看看。"
25,"深圳普通上班族答一波。
早上6.35闹钟响，按掉，贪睡10分钟，6.45第二个闹钟响，起床洗漱。7点22出门，楼下买包子，7.27到达公司班车点，7点29上车，睡觉，8.25到公司，开始上班。
5点下班，坐上公司班车，睡觉，6点到家附近，和附近的同事吃个小面，聊会天，回家。
7点重新出门，带上钢琴教材，15分钟后到达琴房，练琴，9点琴房关门，回家路过家门口买瓣西瓜或者几个苹果，到家，吃水果洗漱。
10点。
失恋前和男盆友语音或者打王者荣耀。
失恋后自己刷微博淘宝B站和闺蜜聊天。
11点，关灯上床，躺着刷知乎，睡觉。
周而复始。
但是却每天都不一样，可能因为贪睡，错过班车在地铁挤一个多小时到公司，可能在公司碰到有趣的新同事，可能在饭堂吃到奇怪的小生物，可能在下班班车上被同事安利某首好听的歌，可能在楼下发现新开的小店有超好吃的热干面，可能生病难受的睡不着，可能打游戏连胜又MVP...
不管喜欢或不喜欢，都是我选择的生活。

n"
26,就是这样子....顺便还发了一只不文明的脚上来.....
27,"一线城市的上班族一枚，过着健康合理有益社会细水长流的生活，当然，也偶尔有点作得觉得自己是个很无聊的人
每天早上6.20闹钟响，准备起床，在6.30前起床去煲开水，然后刷牙洗脸。弄好水就开了，喝水并且听英语，到7点。
7点开始做瑜伽，半个钟，跟着软件做。
7点半开始做饭，早餐和午餐，早餐一般是蔬果昔，把水果蔬菜洗净切小放到搅拌机一榨就好，非常方便，在蔬果昔里加入蛋白粉或者坚果，也可以满足更多营养，真是上班族最快手的早餐。榨完蔬果昔就开始做午餐，把前一天晚上切好的蔬菜在冰箱里拿炒，一般不超过15分钟搞定2个菜。因为我是素食，没有做肉类的菜，所以做饭比较简单。一边做饭还可以一边喝掉蔬果昔。做完这些大概8点10分，就开始清晰厨具，在8.20前搞定厨房卫生。
8.20 换衣服 化妆 准备出门
8.40 出门等公车
9.30 开始工作
12.00 吃掉早上做的午餐，吃完洗碗
13.00 睡午觉
13.30 工作
18.30 下班，带一瓶酸奶车上充饥
19.30 到家附近，楼下买菜，随便在外吃点小吃零食，四处逛逛
后面的时间就在家看看书 听听音乐或者看看综艺节目，然后准备洗干净切好第二天要做的菜，放到冰箱。接着拖地冲凉睡觉
周末早上会做不一样的早餐，虽然是素食，也很喜欢香的食物，会烙各种口味的饼。 然后在家搞卫生，和朋友去看看电影，或者去图书馆借书，有时候也喜欢邀请朋友来家里，一起做饭一起唠嗑
基本上今年都是这么过的，感觉自己是个孤僻无聊的人。需要上班的日子除了上班几乎都是一个人，周末才会和相熟的朋友聚聚，基本上都是别人主动约，不然就是在家搞卫生，做一日三餐或者看书听歌。
好吧，我是被动的处女座"
28,电脑一开一关，一天就过去了
29,"6:30-7:00 起床加解决起床气 大概耗时半小时
7:00-8:00 洗刷 想办法说服自己吃早饭
8:00-10:00 读书
10:30-12:00 写剧本
12:30-13:30 自己做饭
2:00-3:00 午休
3:00-5:00 看书
6:00-8:00 写剧本
8:30-10:30 看电影 拉片
11:00-11：30 看辛普森一家才能入睡
时间并非严格界限，浮动时间用于处理一些琐事。然后――












真实情况：
我干！又十点。起床
我操，又睡了回笼觉，十一点了，继续起床。
太阳好刺眼，猫粮又没了，又没有排便的欲望，今天票房走势又不好。
叼着一根牙刷打开公众号凭标题决定宠幸哪篇文章几分钟，半个小时过去了，票房又可以再刷新一次了。微博也可以再刷新一次了，刷完微博可以考虑去知乎看两眼。好像，有的公众号可能又更新了，再回去看看。结果并没有，对了票房过了半小时又可以刷新一次了。
一个多小时过去了，牙刷还叼在口中，牙膏从泡沫几近变回固体。
这样肯定是不行的，人生如果还是这样拖延，可能真的死定了。所以，在美团和饿了么挑选了半个小时后还是决定用便宜的那家好了。对了，又可以刷新票房了。
还是不行啊，说好的宅在家是为了进行创作的呢，一定要写出感天动地的东西才可以消除罪恶感。对了，不妨先看两集视频理清一下灵感和思路。
等等，我家猫好像在叫唤我，我得去一探究竟。哎呦，真萌，猫的生命很短的，再不多陪陪它以后会后悔的。
下午四点四十五的闹钟来的感觉比以往要早一些。痛定思痛之后，写剧本的第一步还是决定先从打开Word开始，额，不对Celtx也挺好用的，嗯不行，我得再看看网上还有没有更合适的中文编剧软件。百度不好用，用Bing好了，对了Google不是说要回中国了麽，看看能不能用。还是不能。既然浏览器都打开了，还是顺带搜搜有关翻墙的知识好了，一直学不会，但迟早用得上。
眼看天就要黑了，此时再不打开云音乐洗涤心灵恐怕就要错过今天的第一缕多愁伤感了。
妈的，我居然在音乐评论上浪费了一个多小时。还是先让我安静一会吧，我需要聆听自己的灵魂的声音。如果能挤出两滴眼泪就再好不可了，这样至少我还是一个有感触的实体的人。
大概用了两个小时看了上百条微博，写了三百个字，觉得按照这样的进度，三个月就能完成一部剧本，简直是合情合理合符要求的水准。莫名其妙的自豪感油然而生。
所以决定从更好的培养自己开始，花点时间来锻炼健身好了。我有15kg的哑铃，但感觉没有热身就开始这么重的量，肯定会伤到自己。还是先随随便便甩两下好了，不过甩完了，感觉锻炼的目的也就达到了，今天就先这样好了，明天肯定可以更厉害的！
看身上猫毛的多少来决定是否洗澡。对了猫粮又没了。十一点左右收手，停止一切事情，顺带最后巡视一下今天票房大盘，啧啧啧，中国电影要完了，趁早移民吧。
一切都安静下来之后，留盏台灯，读两本书，看到墙上挂满的电影海报。想到屏保上的那句，“你配不上自己的野心，也辜负了所受的苦难”，只能苦笑，而不是哭笑。大概这就是日复一日、夜复一夜的平淡无奇的生活，没有女朋友，甚至没有朋友，没有家人，独自在外坚挺地生活，抛弃和外界打交道的可能，尽管只是暂时的。但自己最清楚，在随后就要到来的黑夜，孤独、恐惧、迷茫、颓废的情绪马上就会蔓延开来。
但在这个故事里，至少就目前而言，暂时没有反派，也没有除了自己以外可以责怪的人，有的只是艰难生活的一部分。
最后，在《辛普森一家》的轻哄下慢慢融入长夜。"
30,"哈哈哈哈哈 我正好之前记录过一次 我的放假日常










～～～～上学日常的话 就非常单一了 ，不过我现在是变成了婚后日常，哈哈哈哈哈"
31,"大二党
早上
7:30 迫不得已起床，毕竟有上午课
7:40 出门、路过食堂带上早点
7:55 到教室(还有5分钟准备上课)
一上午的课～
11:55 提前5分钟从教室后门溜出去
12:00 到达食堂(如果按课表时间下课的话，午饭时间得往后推一个多小时，因为在正常用餐时间，食堂人太多啊)
12:25 到宿舍，开电脑～知乎贴吧bilibili
13:00 上床午觉
14:15 醒！
①有课，去上课
一下午的课～
18:25 同理，提前5分钟早退去食堂
②没课，继续趴一会儿
14:30 趴够了起来
( 没课真爽！！！)
知乎贴吧bilibili、敲代码、dota2、去图书馆看漂亮女孩子、去羽毛球馆看漂亮女孩子、去隔壁学校图书馆看漂亮女孩子、去隔壁学校羽毛球……（╬￣皿￣）=○(￣ε(#￣)……
18:30 准时晚饭
19:00 拉上室友去田径场散步 、去邻栋女生宿舍楼底下草坪上聊天吹风抬头看(星星)
20:00 回宿舍洗漱洗衣、看电影、知乎贴吧bilibili、dota2、看书(没办法，必须写点正经事吧)……
22:00 嗯，该忙的都忙完了……开始敲代码，晚上安静时候敲代码效率最高了～
2:00 碎觉




嗯，就是这样，有点乱～"
32,"天空还未翻出鱼肚白，我困成狗地一边洗漱一边开始怀疑人生。
此时全家人都还没醒来，爱抚正在熟睡的狗子它也不理我。
关上灯，再慢慢关上门，莫名有种使命感。（类似于要早出晚归工作的丈夫
走在街道上被浓重的夜色包裹，我却感到异常安心。
挤上公交车，有时望着窗外发呆，有时偷瞄好看的小姐姐，有时拼命背书复习。
小路边上的店铺陆续开张，行人纷纷赶往自己的目的地，这才热闹起来，有了生的气息。
望着路人疲倦却神采奕奕的神色，默默心想我们都在努力地生活呢。不由感慨活着真好。
吃着早餐，抬头望一眼每天都在同一时间进来喝咖啡的小哥哥。时间不知不觉地在要不要向他搭话的犹豫中过去。
教室内，不停暗叹年龄比我小的同学们真是太可爱了。
摸摸一只傲娇毛茸茸的头发，下一秒立刻炸毛，但是也好可爱。摸摸一只儒雅同学的头发，他却低下头腼腆地笑笑。（别这样我会犯罪的
上课时坐在第一排的我偶尔会不定期和周公来个约会，丝毫没有察觉老师要杀人似的目光。
在考虑换一个不显眼的位置，继续偷睡+偷吃零食（下午实在是太饿了
在回去的公交车上心情也大好，因为老能看见各种类型的小鲜肉。
回到家第一件要做的事就是葛优瘫。
晚睡强迫症还未痊愈，等终于躲到暖和厚重的被窝里，又开始懊恼不够睡。
沉沉睡去，进入有趣的梦境里。
清早，闹钟又开始响起。"
